document_number,publication_date,agency_id,agency,subagency,title,abstract,type,excerpts,raw_name,slug,url,html_url,pdf_url,public_inspection_pdf_url,json_url,parent_id
2018-06686,2018-04-03,12,Agriculture Department,Forest Service,"Grand Mesa, Uncompahgre and Gunnison National Forests; Colorado; Revision of the Land and Resource Management Plan for the Grand Mesa, Uncompahgre and Gunnison National Forests","The U.S. Department of Agriculture, Forest Service, is revising the existing Grand Mesa, Uncompahgre, and Gunnison (GMUG) National Forests' Land and Resource Management Plan (Forest Plan). The Forest Service will prepare an Environmental Impact Statement (EIS) for its revised Forest Plan. This notice briefly describes the preliminary needs for change that will be used to develop a revised Forest Plan, the nature of the decision to be made, and information concerning public participation. This notice also describes estimated dates for filing the EIS, the name and address of the responsible agency officials, and the individuals who can provide additional information. Finally, this notice identifies the applicable planning rule that will be used for completing the plan revision.",Notice,"The U.S. Department of Agriculture, Forest Service, is revising the existing Grand Mesa, Uncompahgre, and Gunnison (GMUG) National Forests' Land and Resource Management Plan (Forest Plan). The Forest Service will prepare an Environmental Impact...",DEPARTMENT OF AGRICULTURE,agriculture-department,https://www.federalregister.gov/agencies/agriculture-department,https://www.federalregister.gov/documents/2018/04/03/2018-06686/grand-mesa-uncompahgre-and-gunnison-national-forests-colorado-revision-of-the-land-and-resource,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06686.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06686.pdf?1522673121,https://www.federalregister.gov/api/v1/agencies/12.json,
2018-06683,2018-04-03,12,Agriculture Department,Forest Service,Black Hills National Forest Advisory Board,"The Black Hills National Forest Advisory Board (Board) will meet in Rapid City, South Dakota. The Board is established consistent with the Federal Advisory Committee Act of 1972, the Forest and Rangeland Renewable Resources Planning Act of 1974, the National Forest Management Act of 1976, and the Federal Public Lands Recreation Enhancement Act. Additional information concerning the Board, including the meeting summary/minutes, can be found by visiting the Board's website at: http://www.fs.usda.gov/main/blackhills/workingtogether/ advisorycommittees.",Notice,"The Black Hills National Forest Advisory Board (Board) will meet in Rapid City, South Dakota. The Board is established consistent with the Federal Advisory Committee Act of 1972, the Forest and Rangeland Renewable Resources Planning Act of 1974, the...",DEPARTMENT OF AGRICULTURE,agriculture-department,https://www.federalregister.gov/agencies/agriculture-department,https://www.federalregister.gov/documents/2018/04/03/2018-06683/black-hills-national-forest-advisory-board,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06683.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06683.pdf?1522673121,https://www.federalregister.gov/api/v1/agencies/12.json,
2018-06503,2018-04-03,12,Agriculture Department,Rural Utilities Service,Announcement of Grant Application Deadlines and Funding Levels,"The Rural Utilities Service (RUS), an agency of the United States Department of Agriculture (USDA), herein referred to as RUS or the Agency, announces its Distance Learning and Telemedicine (DLT) Grant Program application window for Fiscal Year (FY) 2018. The Agency is publishing the amount of funding received in the appropriations act on its website at https://www.rd.usda.gov/newsroom/notices- solicitation-applications-nosas. Expenses incurred in developing applications will be at the applicant's risk. In addition to announcing the application window, RUS announces the minimum and maximum amounts for DLT grants applicable for the fiscal year. The DLT Grant Program regulation can be found at 7 CFR part 1734, subpart B. This DLT Grant Program regulation replaced the previous DLT Grant Program regulation, 7 CFR part 1703, subpart E, on December 27, 2017.",Notice,"The Rural Utilities Service (RUS), an agency of the United States Department of Agriculture (USDA), herein referred to as RUS or the Agency, announces its Distance Learning and Telemedicine (DLT) Grant Program application window for Fiscal Year (FY)...",DEPARTMENT OF AGRICULTURE,agriculture-department,https://www.federalregister.gov/agencies/agriculture-department,https://www.federalregister.gov/documents/2018/04/03/2018-06503/announcement-of-grant-application-deadlines-and-funding-levels,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06503.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06503.pdf?1522673117,https://www.federalregister.gov/api/v1/agencies/12.json,
2018-06719,2018-04-03,54,Commerce Department,Census Bureau,National Advisory Committee,"The Bureau of the Census (Census Bureau) gives notice of a meeting of the National Advisory Committee on Racial, Ethnic and Other Populations (NAC). The NAC addresses policy, research, and technical issues relating to all Census Bureau programs and activities. These activities include the production and dissemination of detailed demographic and economic statistics across all program areas, including the Decennial Census Program. The NAC is scheduled to meet in a plenary session on June 14-15, 2018. Planned topics of discussion include the following items:",Notice,"The Bureau of the Census (Census Bureau) gives notice of a meeting of the National Advisory Committee on Racial, Ethnic and Other Populations (NAC). The NAC addresses policy, research, and technical issues relating to all Census Bureau programs and...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06719/national-advisory-committee,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06719.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06719.pdf?1522673125,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06705,2018-04-03,54,Commerce Department,Census Bureau,"Proposed Information Collection; Comment Request; Data Collection Form for Reporting on Audits of States, Local Governments, Indian Tribes, Institutions of Higher Education, and Non-Profit Organizations","The Department of Commerce, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995.",Notice,"The Department of Commerce, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06705/proposed-information-collection-comment-request-data-collection-form-for-reporting-on-audits-of,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06705.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06705.pdf?1522673122,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06720,2018-04-03,54,Commerce Department,Industry and Security Bureau,Technical Advisory Committee; Notice of Partially Closed Meeting,,Notice,,DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06720/technical-advisory-committee-notice-of-partially-closed-meeting,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06720.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06720.pdf?1522673126,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06722,2018-04-03,54,Commerce Department,International Trade Administration,Stainless Steel Bar From Spain: Final Results of Antidumping Duty Administrative Review; 2016-2017,"The Department of Commerce (Commerce) determines that Sidenor Aceros Especiales S.L. (Sidenor), an exporter/producer of stainless steel bar (SSB) from Spain, sold subject merchandise in the United States at prices below normal value during the period of review (POR), March 1, 2016, through February 28, 2017.",Notice,"The Department of Commerce (Commerce) determines that Sidenor Aceros Especiales S.L. (Sidenor), an exporter/producer of stainless steel bar (SSB) from Spain, sold subject merchandise in the United States at prices below normal value during the period...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06722/stainless-steel-bar-from-spain-final-results-of-antidumping-duty-administrative-review-2016-2017,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06722.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06722.pdf?1522673126,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06728,2018-04-03,54,Commerce Department,International Trade Administration,Laminated Woven Sacks From the Socialist Republic of Vietnam: Initiation of Countervailing Duty Investigation,,Notice,,DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06728/laminated-woven-sacks-from-the-socialist-republic-of-vietnam-initiation-of-countervailing-duty,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06728.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06728.pdf?1522673126,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06727,2018-04-03,54,Commerce Department,International Trade Administration,Laminated Woven Sacks From the Socialist Republic of Vietnam: Initiation of Less-Than-Fair-Value Investigation,,Notice,,DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06727/laminated-woven-sacks-from-the-socialist-republic-of-vietnam-initiation-of-less-than-fair-value,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06727.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06727.pdf?1522673126,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06723,2018-04-03,54,Commerce Department,International Trade Administration,Common Alloy Aluminum Sheet From the People's Republic of China: Postponement of Preliminary Determination of the Less-Than-Fair-Value Investigation,,Notice,,DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06723/common-alloy-aluminum-sheet-from-the-peoples-republic-of-china-postponement-of-preliminary,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06723.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06723.pdf?1522673126,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06721,2018-04-03,54,Commerce Department,International Trade Administration,Citric Acid and Certain Citrate Salts From Canada: Final Results of Antidumping Duty Administrative Review; 2016-2017,"The Department of Commerce (Commerce) determines that Jungbunzlauer Canada, Inc. (JBL Canada), producer/exporter of citric acid and certain citrate salts from Canada, did not sell subject merchandise at prices below normal value (NV) during the period of review (POR) May 1, 2016, through April 30, 2017.",Notice,"The Department of Commerce (Commerce) determines that Jungbunzlauer Canada, Inc. (JBL Canada), producer/exporter of citric acid and certain citrate salts from Canada, did not sell subject merchandise at prices below normal value (NV) during the period...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06721/citric-acid-and-certain-citrate-salts-from-canada-final-results-of-antidumping-duty-administrative,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06721.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06721.pdf?1522673125,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06733,2018-04-03,54,Commerce Department,National Oceanic and Atmospheric Administration,Fisheries of the South Atlantic; South Atlantic Fishery Management Council; Public Meetings,The South Atlantic Fishery Management Council (Council) will hold a meeting of its Citizen Science Advisory Panel Volunteers Action Team via webinar.,Notice,The South Atlantic Fishery Management Council (Council) will hold a meeting of its Citizen Science Advisory Panel Volunteers Action Team via webinar.,DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06733/fisheries-of-the-south-atlantic-south-atlantic-fishery-management-council-public-meetings,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06733.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06733.pdf?1522673126,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06734,2018-04-03,54,Commerce Department,National Oceanic and Atmospheric Administration,Pacific Fishery Management Council; Public Meeting,"The Pacific Fishery Management Council's (Pacific Council) Highly Migratory Species Management Team (HMSMT) will hold a meeting, which is open to the public.",Notice,"The Pacific Fishery Management Council's (Pacific Council) Highly Migratory Species Management Team (HMSMT) will hold a meeting, which is open to the public.",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06734/pacific-fishery-management-council-public-meeting,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06734.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06734.pdf?1522673127,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06757,2018-04-03,126,Education Department,,Final Waiver and Extension of the Project Period for the Opportunity Scholarship Program,"For projects funded under the DC Opportunity Scholarship Program (OSP), the Secretary: (1) Waives the requirements of the Education Department General Administrative Regulations that generally prohibit project period extensions involving the obligation of additional Federal funds; and (2) extends the project period for the current OSP grantee for up to an additional 24 months under the existing program authority. This waiver and extension will enable the Department to provide continuation awards to the current OSP grantee through FY 2019 under the existing program authority.",Notice,"For projects funded under the DC Opportunity Scholarship Program (OSP), the Secretary: (1) Waives the requirements of the Education Department General Administrative Regulations that generally prohibit project period extensions involving the obligation...",DEPARTMENT OF EDUCATION,education-department,https://www.federalregister.gov/agencies/education-department,https://www.federalregister.gov/documents/2018/04/03/2018-06757/final-waiver-and-extension-of-the-project-period-for-the-opportunity-scholarship-program,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06757.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06757.pdf?1522673130,https://www.federalregister.gov/api/v1/agencies/126.json,
2018-06715,2018-04-03,126,Education Department,,Agency Information Collection Activities; Comment Request; U.S. Department of Education Pre-Authorized Debit Account Brochure and Application,"In accordance with the Paperwork Reduction Act of 1995, ED is proposing an extension of an existing information collection.",Notice,"In accordance with the Paperwork Reduction Act of 1995, ED is proposing an extension of an existing information collection.",DEPARTMENT OF EDUCATION,education-department,https://www.federalregister.gov/agencies/education-department,https://www.federalregister.gov/documents/2018/04/03/2018-06715/agency-information-collection-activities-comment-request-us-department-of-education-pre-authorized,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06715.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06715.pdf?1522673125,https://www.federalregister.gov/api/v1/agencies/126.json,
2018-06697,2018-04-03,136,Energy Department,Federal Energy Regulatory Commission,Combined Notice of Filings #1,,Notice,,DEPARTMENT OF ENERGY,energy-department,https://www.federalregister.gov/agencies/energy-department,https://www.federalregister.gov/documents/2018/04/03/2018-06697/combined-notice-of-filings-1,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06697.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06697.pdf?1522673122,https://www.federalregister.gov/api/v1/agencies/136.json,
2018-06700,2018-04-03,136,Energy Department,Federal Energy Regulatory Commission,"Eagle's View Partners, Ltd.; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization",,Notice,,DEPARTMENT OF ENERGY,energy-department,https://www.federalregister.gov/agencies/energy-department,https://www.federalregister.gov/documents/2018/04/03/2018-06700/eagles-view-partners-ltd-supplemental-notice-that-initial-market-based-rate-filing-includes-request,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06700.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06700.pdf?1522673122,https://www.federalregister.gov/api/v1/agencies/136.json,
2018-06703,2018-04-03,136,Energy Department,Federal Energy Regulatory Commission,"Camilla Solar Energy, LLC; Supplemental Notice That Initial Market-Based Rate Filing Includes Request for Blanket Section 204 Authorization",,Notice,,DEPARTMENT OF ENERGY,energy-department,https://www.federalregister.gov/agencies/energy-department,https://www.federalregister.gov/documents/2018/04/03/2018-06703/camilla-solar-energy-llc-supplemental-notice-that-initial-market-based-rate-filing-includes-request,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06703.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06703.pdf?1522673122,https://www.federalregister.gov/api/v1/agencies/136.json,
