document_number,publication_date,agency_id,agency,subagency,title,abstract,type,excerpts,raw_name,slug,url,html_url,pdf_url,public_inspection_pdf_url,json_url,parent_id
2018-08863,2018-04-27,366,National Science Foundation,,Agency Information Collection Activities: Comment Request,"The National Science Foundation (NSF) has submitted the following information collection requirement to OMB for review and clearance under the Paperwork Reduction Act of 1995. This is the second notice for public comment; the first was published in the Federal Register on February 14, 2018, and no comments were received. NSF is forwarding the proposed renewal submission to the Office of Management and Budget (OMB) for clearance simultaneously with the publication of this second notice. The full submission may be found at: http:// www.reginfo.gov/public/do/PRAMain.",Notice,The National Science Foundation (NSF) has submitted the following information collection requirement to OMB for review and clearance under the Paperwork Reduction Act of 1995. This is the second notice for public comment; the first was published in the...,NATIONAL SCIENCE FOUNDATION,national-science-foundation,https://www.federalregister.gov/agencies/national-science-foundation,https://www.federalregister.gov/documents/2018/04/27/2018-08863/agency-information-collection-activities-comment-request,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08863.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08863.pdf?1524746728,https://www.federalregister.gov/api/v1/agencies/366.json,
2018-08849,2018-04-27,466,Securities and Exchange Commission,,Self-Regulatory Organizations; The Nasdaq Stock Market LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change to Rule 4120 To Correct a Citation,,Notice,,SECURITIES AND EXCHANGE COMMISSION,securities-and-exchange-commission,https://www.federalregister.gov/agencies/securities-and-exchange-commission,https://www.federalregister.gov/documents/2018/04/27/2018-08849/self-regulatory-organizations-the-nasdaq-stock-market-llc-notice-of-filing-and-immediate,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08849.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08849.pdf?1524746726,https://www.federalregister.gov/api/v1/agencies/466.json,
2018-08846,2018-04-27,466,Securities and Exchange Commission,,"The Swiss Helvetia Fund, Inc., et al.",,Notice,,SECURITIES AND EXCHANGE COMMISSION,securities-and-exchange-commission,https://www.federalregister.gov/agencies/securities-and-exchange-commission,https://www.federalregister.gov/documents/2018/04/27/2018-08846/the-swiss-helvetia-fund-inc-et-al,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08846.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08846.pdf?1524746725,https://www.federalregister.gov/api/v1/agencies/466.json,
2018-08852,2018-04-27,466,Securities and Exchange Commission,,"Self-Regulatory Organizations; NYSE Arca, Inc.; Order Instituting Proceedings To Determine Whether To Approve or Disapprove a Proposed Rule Change Relating to Listing and Trading of the Direxion Daily Bitcoin Bear 1X Shares, Direxion Daily Bitcoin 1.25X Bull Shares, Direxion Daily Bitcoin 1.5X Bull Shares, Direxion Daily Bitcoin 2X Bull Shares and Direxion Daily Bitcoin 2X Bear Shares Under NYSE Arca Rule 8.200-E",,Notice,,SECURITIES AND EXCHANGE COMMISSION,securities-and-exchange-commission,https://www.federalregister.gov/agencies/securities-and-exchange-commission,https://www.federalregister.gov/documents/2018/04/27/2018-08852/self-regulatory-organizations-nyse-arca-inc-order-instituting-proceedings-to-determine-whether-to,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08852.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08852.pdf?1524746726,https://www.federalregister.gov/api/v1/agencies/466.json,
2018-08848,2018-04-27,466,Securities and Exchange Commission,,"Self-Regulatory Organizations; Cboe Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change in Connection With the Migration of SPX Options From the Hybrid 3.0 System to the Hybrid Trading System",,Notice,,SECURITIES AND EXCHANGE COMMISSION,securities-and-exchange-commission,https://www.federalregister.gov/agencies/securities-and-exchange-commission,https://www.federalregister.gov/documents/2018/04/27/2018-08848/self-regulatory-organizations-cboe-exchange-inc-notice-of-filing-and-immediate-effectiveness-of-a,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08848.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08848.pdf?1524746727,https://www.federalregister.gov/api/v1/agencies/466.json,
2018-08851,2018-04-27,466,Securities and Exchange Commission,,"Self-Regulatory Organizations; Cboe Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change Concerning the VIX Large Trade Discount Program",,Notice,,SECURITIES AND EXCHANGE COMMISSION,securities-and-exchange-commission,https://www.federalregister.gov/agencies/securities-and-exchange-commission,https://www.federalregister.gov/documents/2018/04/27/2018-08851/self-regulatory-organizations-cboe-exchange-inc-notice-of-filing-and-immediate-effectiveness-of-a,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08851.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08851.pdf?1524746726,https://www.federalregister.gov/api/v1/agencies/466.json,
2018-08850,2018-04-27,466,Securities and Exchange Commission,,"Self-Regulatory Organizations; MIAX PEARL, LLC; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Rule 602, Continuing Market Maker Registration",,Notice,,SECURITIES AND EXCHANGE COMMISSION,securities-and-exchange-commission,https://www.federalregister.gov/agencies/securities-and-exchange-commission,https://www.federalregister.gov/documents/2018/04/27/2018-08850/self-regulatory-organizations-miax-pearl-llc-notice-of-filing-and-immediate-effectiveness-of-a,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08850.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08850.pdf?1524746726,https://www.federalregister.gov/api/v1/agencies/466.json,
2018-08907,2018-04-27,468,Small Business Administration,,Reporting and Recordkeeping Requirements Under OMB review,"The Small Business Administration (SBA) is publishing this notice to comply with requirements of the Paperwork Reduction Act (PRA), which requires agencies to submit proposed reporting and recordkeeping requirements to OMB for review and approval, and to publish a notice in the Federal Register notifying the public that a submission.",Notice,"The Small Business Administration (SBA) is publishing this notice to comply with requirements of the Paperwork Reduction Act (PRA), which requires agencies to submit proposed reporting and recordkeeping requirements to OMB for review and approval, and...",SMALL BUSINESS ADMINISTRATION,small-business-administration,https://www.federalregister.gov/agencies/small-business-administration,https://www.federalregister.gov/documents/2018/04/27/2018-08907/reporting-and-recordkeeping-requirements-under-omb-review,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08907.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08907.pdf?1524746734,https://www.federalregister.gov/api/v1/agencies/468.json,
2018-08978,2018-04-27,468,Small Business Administration,,Delegation of Authority; Chief Operating Officer Functions Delegated to Chief of Staff,This is notice that the Administrator of the Small Business Administration (SBA) has delegated to the Chief of Staff of SBA the functions of the SBA Chief Operating Officer.,Notice,This is notice that the Administrator of the Small Business Administration (SBA) has delegated to the Chief of Staff of SBA the functions of the SBA Chief Operating Officer.,SMALL BUSINESS ADMINISTRATION,small-business-administration,https://www.federalregister.gov/agencies/small-business-administration,https://www.federalregister.gov/documents/2018/04/27/2018-08978/delegation-of-authority-chief-operating-officer-functions-delegated-to-chief-of-staff,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08978.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08978.pdf?1524746743,https://www.federalregister.gov/api/v1/agencies/468.json,
2018-08880,2018-04-27,476,State Department,,Notice of Public Meeting,,Notice,,DEPARTMENT OF STATE,state-department,https://www.federalregister.gov/agencies/state-department,https://www.federalregister.gov/documents/2018/04/27/2018-08880/notice-of-public-meeting,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08880.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08880.pdf?1524746730,https://www.federalregister.gov/api/v1/agencies/476.json,
2018-08918,2018-04-27,476,State Department,,Advisory Committee on International Economic Policy; Notice of Open Meeting,,Notice,,DEPARTMENT OF STATE,state-department,https://www.federalregister.gov/agencies/state-department,https://www.federalregister.gov/documents/2018/04/27/2018-08918/advisory-committee-on-international-economic-policy-notice-of-open-meeting,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08918.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08918.pdf?1524746736,https://www.federalregister.gov/api/v1/agencies/476.json,
2018-08945,2018-04-27,481,Surface Transportation Board,,Kasgro Rail Corp.-Lease and Operation Exemption-KJ Rail Logistics LLC,,Notice,,SURFACE TRANSPORTATION BOARD,surface-transportation-board,https://www.federalregister.gov/agencies/surface-transportation-board,https://www.federalregister.gov/documents/2018/04/27/2018-08945/kasgro-rail-corp-lease-and-operation-exemption-kj-rail-logistics-llc,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08945.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08945.pdf?1524746740,https://www.federalregister.gov/api/v1/agencies/481.json,
2018-08868,2018-04-27,491,"Trade Representative, Office of United States",,"Initiation of Country Practice Reviews of India, Indonesia, and Kazakhstan","The Office of the United States Trade Representative (USTR) is announcing the initiation of country practice reviews regarding compliance with the Generalized System of Preferences (GSP) eligibility criteria of India, Indonesia, and Kazakhstan. This notice includes the schedule for submission of public comments and a public hearing.",Notice,"The Office of the United States Trade Representative (USTR) is announcing the initiation of country practice reviews regarding compliance with the Generalized System of Preferences (GSP) eligibility criteria of India, Indonesia, and Kazakhstan. This...",OFFICE OF THE UNITED STATES TRADE REPRESENTATIVE,trade-representative-office-of-united-states,https://www.federalregister.gov/agencies/trade-representative-office-of-united-states,https://www.federalregister.gov/documents/2018/04/27/2018-08868/initiation-of-country-practice-reviews-of-india-indonesia-and-kazakhstan,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08868.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08868.pdf?1524746729,https://www.federalregister.gov/api/v1/agencies/491.json,
2018-08963,2018-04-27,492,Transportation Department,Federal Aviation Administration,Agency Information Collection Activities: Requests for Comments; Clearance of New Approval of Information Collection: FAA Aircraft Noise Complaint and Inquiry System (FAA Noise Portal),"In accordance with the Paperwork Reduction Act of 1995, the FAA invites public comments about our intention to request the Office of Management and Budget (OMB) approval for a new information collection. The Federal Register Notice with a 60-day comment period soliciting comments on the following collection of information was published on November 2, 2017. The voluntary collection is part of the FAA's goal to more effectively and efficiently address noise complaints or inquiries it receives. The collection includes information such as name, email address, street or cross street, city, state, zip code, and a description of the aircraft noise complaint or inquiry. The level of information to be collected is necessary to allow the FAA to respond to the noise complaint or inquiry.",Notice,"In accordance with the Paperwork Reduction Act of 1995, the FAA invites public comments about our intention to request the Office of Management and Budget (OMB) approval for a new information collection. The Federal Register Notice with a 60-day...",DEPARTMENT OF TRANSPORTATION,transportation-department,https://www.federalregister.gov/agencies/transportation-department,https://www.federalregister.gov/documents/2018/04/27/2018-08963/agency-information-collection-activities-requests-for-comments-clearance-of-new-approval-of,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08963.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08963.pdf?1524746742,https://www.federalregister.gov/api/v1/agencies/492.json,
2018-08966,2018-04-27,492,Transportation Department,Federal Aviation Administration,"Agency Information Collection Activities: Requests for Comments; Clearance of Renewed Approval of Information Collection: Renewal, Rotorcraft External Load Operator Certificate Application","In accordance with the Paperwork Reduction Act of 1995, FAA invites public comments about our intention to request the Office of Management and Budget (OMB) approval to renew an information collection. The Federal Register Notice with a 60-day comment period soliciting comments on the following collection of information was published on January 19, 2018. The collection involves the submission of application FAA Form 8710-4 for organizations wishing to conduct nonpassenger-carrying external-load operations for compensation or hire. The information to be collected will be used to and/or is necessary to evaluate the operators request to become or remain certified as Rotorcraft External-Load Operators.",Notice,"In accordance with the Paperwork Reduction Act of 1995, FAA invites public comments about our intention to request the Office of Management and Budget (OMB) approval to renew an information collection. The Federal Register Notice with a 60-day comment...",DEPARTMENT OF TRANSPORTATION,transportation-department,https://www.federalregister.gov/agencies/transportation-department,https://www.federalregister.gov/documents/2018/04/27/2018-08966/agency-information-collection-activities-requests-for-comments-clearance-of-renewed-approval-of,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08966.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08966.pdf?1524746743,https://www.federalregister.gov/api/v1/agencies/492.json,
2018-08924,2018-04-27,492,Transportation Department,Federal Motor Carrier Safety Administration,Qualification of Drivers; Exemption Applications; Vision,FMCSA announces its decision to renew exemptions for 60 individuals from the vision requirement in the Federal Motor Carrier Safety Regulations (FMCSRs) for interstate commercial motor vehicle (CMV) drivers. The exemptions enable these individuals to continue to operate CMVs in interstate commerce without meeting the vision requirement in one eye.,Notice,FMCSA announces its decision to renew exemptions for 60 individuals from the vision requirement in the Federal Motor Carrier Safety Regulations (FMCSRs) for interstate commercial motor vehicle (CMV) drivers. The exemptions enable these individuals to...,DEPARTMENT OF TRANSPORTATION,transportation-department,https://www.federalregister.gov/agencies/transportation-department,https://www.federalregister.gov/documents/2018/04/27/2018-08924/qualification-of-drivers-exemption-applications-vision,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08924.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08924.pdf?1524746737,https://www.federalregister.gov/api/v1/agencies/492.json,
2018-08908,2018-04-27,492,Transportation Department,Federal Motor Carrier Safety Administration,Qualification of Drivers; Exemption Applications; Hearing,FMCSA announces its decision to renew exemptions for 3 individuals from the hearing requirement in the Federal Motor Carrier Safety Regulations (FMCSRs) for interstate commercial motor vehicle (CMV) drivers. The exemptions enable these hard of hearing and deaf individuals to continue to operate CMVs in interstate commerce.,Notice,FMCSA announces its decision to renew exemptions for 3 individuals from the hearing requirement in the Federal Motor Carrier Safety Regulations (FMCSRs) for interstate commercial motor vehicle (CMV) drivers. The exemptions enable these hard of hearing...,DEPARTMENT OF TRANSPORTATION,transportation-department,https://www.federalregister.gov/agencies/transportation-department,https://www.federalregister.gov/documents/2018/04/27/2018-08908/qualification-of-drivers-exemption-applications-hearing,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08908.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08908.pdf?1524746735,https://www.federalregister.gov/api/v1/agencies/492.json,
2018-08917,2018-04-27,492,Transportation Department,Federal Motor Carrier Safety Administration,Qualification of Drivers; Exemption Applications; Epilepsy and Seizure Disorders,FMCSA announces its decision to renew exemptions for three individuals from the requirement in the Federal Motor Carrier Safety Regulations (FMCSRs) that interstate commercial motor vehicle (CMV) drivers have ``no established medical history or clinical diagnosis of epilepsy or any other condition which is likely to cause loss of consciousness or any loss of ability to control a CMV.'' The exemptions enable these individuals who have had one or more seizures and are taking anti- seizure medication to continue to operate CMVs in interstate commerce.,Notice,FMCSA announces its decision to renew exemptions for three individuals from the requirement in the Federal Motor Carrier Safety Regulations (FMCSRs) that interstate commercial motor vehicle (CMV) drivers have ``no established medical history or...,DEPARTMENT OF TRANSPORTATION,transportation-department,https://www.federalregister.gov/agencies/transportation-department,https://www.federalregister.gov/documents/2018/04/27/2018-08917/qualification-of-drivers-exemption-applications-epilepsy-and-seizure-disorders,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08917.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08917.pdf?1524746735,https://www.federalregister.gov/api/v1/agencies/492.json,
2018-08923,2018-04-27,492,Transportation Department,Federal Motor Carrier Safety Administration,Qualification of Drivers; Exemption Applications; Diabetes Mellitus,FMCSA announces its decision to exempt 51 individuals from the prohibition in the Federal Motor Carrier Safety Regulations (FMCSRs) against persons with insulin-treated diabetes mellitus (ITDM) from operating a commercial motor vehicle (CMV) in interstate commerce. The exemptions enable these individuals with ITDM to operate CMVs in interstate commerce.,Notice,FMCSA announces its decision to exempt 51 individuals from the prohibition in the Federal Motor Carrier Safety Regulations (FMCSRs) against persons with insulin-treated diabetes mellitus (ITDM) from operating a commercial motor vehicle (CMV) in...,DEPARTMENT OF TRANSPORTATION,transportation-department,https://www.federalregister.gov/agencies/transportation-department,https://www.federalregister.gov/documents/2018/04/27/2018-08923/qualification-of-drivers-exemption-applications-diabetes-mellitus,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08923.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08923.pdf?1524746737,https://www.federalregister.gov/api/v1/agencies/492.json,
2018-08909,2018-04-27,492,Transportation Department,Federal Motor Carrier Safety Administration,Qualification of Drivers; Exemption Applications; Diabetes Mellitus,"FMCSA announces receipt of applications from 40 individuals for an exemption from the prohibition in the Federal Motor Carrier Safety Regulations (FMCSRs) against persons with insulin-treated diabetes mellitus (ITDM) operating a commercial motor vehicle (CMV) in interstate commerce. If granted, the exemptions would enable these individuals with ITDM to operate CMVs in interstate commerce.",Notice,FMCSA announces receipt of applications from 40 individuals for an exemption from the prohibition in the Federal Motor Carrier Safety Regulations (FMCSRs) against persons with insulin-treated diabetes mellitus (ITDM) operating a commercial motor...,DEPARTMENT OF TRANSPORTATION,transportation-department,https://www.federalregister.gov/agencies/transportation-department,https://www.federalregister.gov/documents/2018/04/27/2018-08909/qualification-of-drivers-exemption-applications-diabetes-mellitus,https://www.gpo.gov/fdsys/pkg/FR-2018-04-27/pdf/2018-08909.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08909.pdf?1524746735,https://www.federalregister.gov/api/v1/agencies/492.json,
